0,0,Bird Boulevard,street
1,0,Palprey Road Police Department,police
2,0,St. Danilo's Church,church
3,0,a cemetery,cemetery
4,0,a carpark,carpark
5,0,Hewett Library,library
6,0,Geldart Square,street
7,0,Hardwick Row Railway Station,railway
8,0,the Bullimore Arms,pub
9,0,Bourdillon Library,library
10,0,Dickason Towers,tower
11,0,Sindercombe Park,park
12,0,the Akehurst Building,building
13,0,a factory,factory
14,0,the Selley Building,building
15,0,Spark Crescent,street
16,0,Alaway Cinema,cinema
17,0,Capel Drive,street
18,0,the Gingell Building,building
19,0,Hobhouse Drive,street
20,0,Burchill Alley,street
21,0,Pitman Mansion,mansion
22,0,Pitman Mansion,mansion
23,0,Sibree Plaza,street
24,0,the Bearnard Museum,museum
25,0,Pottenger Plaza,street
26,0,Halse Place Railway Station,railway
27,0,the Buckenham Building,building
28,0,wasteland,wasteland
29,0,Baber Towers,tower
30,0,Exell Cinema,cinema
31,0,Wilkes Boulevard,street
32,0,Leaves Avenue,street
33,0,Dalley Drive,street
34,0,Train Row Police Department,police
35,0,the Purt Motel,hotel
36,0,Club Lenton,club
37,0,New Auto Repair,autorepair
38,0,Madill Towers,tower
39,0,St. Marcellin's Church,church
40,0,wasteland,wasteland
41,0,Carner Way Police Department,police
42,0,a carpark,carpark
43,0,Nursey Bank,bank
44,0,Wolsey Crescent Fire Station,firestation
45,0,St. Alfred's Hospital,hospital
46,0,Ivyleafe Way,street
47,0,wasteland,wasteland
48,0,a junkyard,junkyard
49,0,a warehouse,warehouse
50,0,wasteland,wasteland
51,0,a factory,factory
52,0,the Sheehan Building,building
53,0,a factory,factory
54,0,a junkyard,junkyard
55,0,Carr Place,street
56,0,Maber Avenue,street
57,0,Tolman Lane,street
58,0,a carpark,carpark
59,0,Hird Grove,street
60,0,a junkyard,junkyard
61,0,the Mallows Building,building
62,0,Geyskens Alley,street
63,0,a factory,factory
64,0,Gillow Drive,street
65,0,a carpark,carpark
66,0,the Harry Motel,hotel
67,0,Foan Drive,street
68,0,the Syred Motel,hotel
69,0,Prickett Street Fire Station,firestation
70,0,the Blount Monument,monument
71,0,Murrell Avenue,street
72,0,the Waltham Arms,pub
73,0,Bruce Boulevard Railway Station,railway
74,0,Simpkins Bank,bank
75,0,Tipper Road,street
76,0,wasteland,wasteland
77,0,Yea Bank,bank
78,0,Finn Alley,street
79,0,Cooke Cinema,cinema
80,0,St Alfred's Hospital,hospital
81,0,a junkyard,junkyard
82,0,the Elcomb Building,building
83,0,Club Meatyard,club
84,0,Mor Road,street
85,0,Luffman Grove,street
86,0,Club Farrel,club
87,0,St Dunstan's Church,church
88,0,Nash Park,park
89,0,Barlow Avenue,street
90,0,Club Mold,club
91,0,wasteland,wasteland
92,0,a factory,factory
93,0,Oake Walk Police Dept,police
94,0,the Naisbitt Building,building
95,0,Clewett Alley Police Dept,police
96,0,Spicer Row Police Dept,police
97,0,the Beale Building,building
98,0,Leeson Alley,street
99,0,Troubridge Cinema,cinema
0,1,the Norgan Building,building
1,1,Patridge Grove,street
2,1,Club Ogburn,club
3,1,Gatley Drive,street
4,1,Seamour Crescent,street
5,1,Merivale Crescent,street
6,1,St. Ansgar's Hospital,hospital
7,1,a warehouse,warehouse
8,1,a warehouse,warehouse
9,1,Cuthbert Auto Repair,autorepair
10,1,wasteland,wasteland
11,1,Firth Square,street
12,1,Dike Avenue,street
13,1,a warehouse,warehouse
14,1,Haw Library,library
15,1,wasteland,wasteland
16,1,Pople Avenue Railway Station,railway
17,1,the Barclay Museum,museum
18,1,Peres Library,library
19,1,Shilling Place,street
20,1,Duggan Auto Repair,autorepair
21,1,Pitman Mansion,mansion
22,1,Pitman Mansion,mansion
23,1,a warehouse,warehouse
24,1,Chitty Cinema,cinema
25,1,the Murley Building,building
26,1,Eastmont Street,street
27,1,the Evett Building,building
28,1,the Yea Building,building
29,1,the Haslock Building,building
